Learning_Rate,Batch_Size,Dropout_Rate,Validation_Loss,Validation_Accuracy,Best_Epoch
0.01,32,0.3,0.8650035858154297,0.6710526347160339,9
0.01,32,0.5,1.0510960817337036,0.6184210777282715,10
0.01,64,0.3,1.007887840270996,0.6710526347160339,7
0.01,64,0.5,0.8751847147941589,0.7105262875556946,9
0.001,32,0.3,0.8015336394309998,0.8421052694320679,9
0.001,32,0.5,0.7202456593513489,0.7960526347160339,8
0.001,64,0.3,0.6290085315704346,0.7894737124443054,8
0.001,64,0.5,0.729637622833252,0.8026315569877625,10
0.0001,32,0.3,0.8475101590156555,0.7434210777282715,8
0.0001,32,0.5,0.8854578733444214,0.7105262875556946,8
0.0001,64,0.3,0.982680082321167,0.625,9
0.0001,64,0.5,1.0398136377334595,0.6184210777282715,10
